_id,Canton,Circuito,Distrito,Edad,Estado Civil,Fecha Infracción,Hora Infracción,Nacionalidad,Provincia,Sexo,Zona,tipo_muert_matriz
897,SANTO_DOMINGO,JUAN EULOGIO,SANTO DOMINGO OESTE,26,NO DETERMINADO,2014-08-14T00:00:00,2015-12-02T04:00:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Homicidios
898,DELEG,DELEG,AZOGUES,56,SOLTERO,2014-10-13T00:00:00,2015-12-02T01:30:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Asesinatos
899,DELEG,DELEG,AZOGUES,43,SOLTERO,2014-10-13T00:00:00,2015-12-02T01:00:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Asesinatos
900,BABAHOYO,SABANA,BABAHOYO,32,CASADO,2014-10-15T00:00:00,2015-12-02T00:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
901,SAN_JACINTO_DE_BUENA_FE,BUENA FE ESTE,BUENA FE,34,DIVORCIADO,2014-10-16T00:00:00,2015-12-02T22:40:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
902,LA_LIBERTAD,VIRGEN DEL CARMEN,LIBERTAD SALINAS,43,UNION LIBRE,2014-10-16T00:00:00,2015-12-02T20:10:00,ECUADOR,SANTA_ELENA,FEMENINO,ZONA 5,Asesinatos
903,QUITO,CHILIBULO,ELOY ALFARO,27,SOLTERO,2014-10-18T00:00:00,2015-12-02T01:00:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
904,LA_TRONCAL,TRONCAL NORTE,LA TRONCAL,33,CASADO,2014-10-17T00:00:00,2015-12-02T18:05:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Homicidios
905,SAN_LORENZO,FRONTERA,SAN LORENZO,2,SOLTERO,2014-10-19T00:00:00,2015-12-02T11:40:00,ECUADOR,ESMERALDAS,FEMENINO,ZONA 1,Asesinatos
906,PUERTO_FRANCISCO_DE_ORELLANA,LA BELLEZA,ORELLANA LORETO,59,SOLTERO,2014-09-13T00:00:00,2015-12-02T18:30:00,ECUADOR,ORELLANA,MASCULINO,ZONA 2,Asesinatos
